成交價,地坪
6000000,21.78
11500000,45.68
3150000,18.15
7500000,26.02
13400000,8.34
13660000,21.97
16000000,21.54
2830000,15.73
13880000,28.99
20150000,27.60
13880000,24.80
2680000,6.05
13800000,24.43
15000000,23.41
14850000,17.01
16120000,25.79
28500000,41.56
7320000,18.15
2940000,16.94
6200000,14.52
1600000,16.64
9500000,21.48
11100000,21.18
18000000,40.98
11380000,19.97
9900000,33.42
17150000,28.20
5000000,20.87
18200000,23.58
18300000,27.80
10300000,32.07
12000000,21.18
3850000,14.22
15000000,31.76
4360000,11.80
17100000,20.13
5900000,19.06
16000000,30.56
10100000,18.94
13750000,22.32
7440000,24.20
14200000,23.49
