有車位,透天/大樓,總價元,主建物面積,電梯
0,1,1380000,8.19,1
0,1,8730000,51.95,1
0,1,1300000,5.09,1
0,1,2000000,11.68,1
0,1,6000000,78.01,1
0,1,1007764,56.72,1
0,1,5800000,78.47,1
0,1,7950000,61.35,1
0,1,1260000,5.96,1
0,1,6600000,99.62,1
0,1,8580000,51.95,1
0,1,7980000,52.92,1
0,1,2500000,91.26,1
0,1,6770000,80.52,1
0,1,4560000,65.84,1
0,1,5800000,37.62,1
0,1,11500000,71.03,1
0,1,3600000,38.12,1
0,1,1700000,11.99,1
0,1,6700000,53.73,1
0,1,8340000,59.94,1
0,1,13000000,376.35,1
0,1,12800000,376.35,1
0,1,8750000,61.53,1
0,1,6580000,82.38,1
0,1,7350000,82.38,1
0,1,6530000,82.38,1
0,1,7330000,85.28,1
0,1,6530000,76.78,1
0,1,7550000,86.43,1
1,1,4800000,75.47,1
1,1,10270000,52.86,1
1,1,14650000,77.12,1
1,1,8910000,42.9,1
1,1,14450000,77.12,1
1,1,12250000,64.4,1
1,1,10500000,97.01,1
1,1,13990000,73.42,1
1,1,13200000,71.63,1
1,1,3500000,53.27,1
1,1,12950000,71.15,1
1,1,11500000,75.62,1
1,1,8200000,41.14,1
1,1,11500000,65.17,1
1,1,13300000,79.23,1
1,1,15320000,77.12,1
1,1,8510000,68.62,1
1,1,9200000,56.87,1
1,1,9050000,43.58,1
1,1,8000000,42.92,1
1,1,8400000,67.8,1
1,1,8000000,57.67,1
1,1,10800000,100.76,1
1,1,13300000,79.23,1
1,1,9600000,72.41,1
1,1,7000000,91.73,1
1,1,10500000,66.93,1
1,1,13480000,73.24,1
1,1,13800000,73.24,1
1,1,8430000,49.34,1
1,1,9300000,65.7,1
1,1,10500000,67.16,1
1,1,8800000,58.73,1
1,1,8600000,53.34,1
1,1,12900000,68.99,1
1,1,16860000,78.58,1
1,1,16880000,78.63,1
1,1,11500000,70.64,1
1,1,16500000,78.63,1
1,1,8660000,53.2,1
1,1,7280000,55.04,1
1,1,9690000,65.24,1
1,1,8650000,66.27,1
1,1,10400000,91.17,1
